gen,desired_array_size,P_ref,t_TES_hours,solarm,PPA_USD_per_MWh,CF_hybrid,CF_pb,LCOE,Annual_Revenue_USD,PV_to_Grid_MWh,CSP_to_Grid_MWh,fitness_PPA,fitness_CF,status,note,timestamp
1,142500.0,184.0,5.5,2.1,45.56955272486652,0.6267290828151333,0.19193987451942543,129.7218949256721,40585965.90096156,239638.30920066615,309376.36734539067,45.56955272486652,0.6267290828151333,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828759+00:00
1,129000.0,81.0,5.0,3.1,44.96957499009833,0.4416830313852912,0.22950979809772382,126.32665759698945,27258948.278089512,224063.36315529415,162850.97233822092,44.96957499009833,0.4416830313852912,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828764+00:00
1,176500.0,109.0,12.5,2.6,40.915664939986385,0.6035610853587572,0.27471311617141775,118.99481522642283,35115238.898662165,266412.4389291548,262307.0718451165,40.915664939986385,0.6035610853587572,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828768+00:00
1,56000.0,186.0,9.0,2.1,45.200351978537334,0.5532238468086187,0.23685448483477942,136.12498164343023,37582727.668787464,98702.86639395374,385921.2234103962,45.200351978537334,0.5532238468086187,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828772+00:00
1,171500.0,151.0,6.0,1.1,40.21604340575221,0.5809820326411804,0.18570884801551776,114.11111320532295,33344387.71100564,263292.02479266777,245648.23580100626,40.21604340575221,0.5809820326411804,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828777+00:00
1,298000.0,121.0,12.0,2.8000000000000003,44.030718383493344,0.7304700871128592,0.3087103839080352,122.50243317405486,43700656.96830859,312671.13778370357,327220.658527161,44.030718383493344,0.7304700871128592,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828781+00:00
1,197500.0,56.0,5.0,1.2000000000000002,42.70287074072677,0.3976172474783044,0.17870304279409963,112.60410138952004,22046592.541097447,260648.14411792115,87664.56467307352,42.70287074072677,0.3976172474783044,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828785+00:00
1,178500.0,70.0,16.0,4.1000000000000005,95.31125699480343,0.26755188202933977,0.0836604629576906,241.11555763118085,30781744.228235044,183074.85277204576,51300.59588565588,95.31125699480343,0.26755188202933977,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828789+00:00
1,277500.0,147.0,8.0,3.2,46.53386907069057,0.6974144411032122,0.23575864317443201,129.78846475005813,44534822.22800277,307343.9304178343,303591.1199885796,46.53386907069057,0.6974144411032122,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828793+00:00
1,268000.0,165.0,9.0,4.1000000000000005,87.31394679962379,0.39750407954568945,0.053686016938476855,232.92011742575326,45226145.68249096,270615.8047991495,77597.76888287444,87.31394679962379,0.39750407954568945,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828796+00:00
