timestep,price_EUR_per_MWh,pv_to_grid_MWe,pv_to_heater_MWe,csp_to_pb_MWt,csp_to_tes_MWt,tes_charge_MWt,tes_discharge_MWt,tes_energy_MWht,pb_electric_MWe,spill_pv_MWe,spill_csp_MWt
160,1.0,4.50569548071177,0.0,0.0,0.0,0.0,0.0,119.785875807094,0.0,0.0,0.0
161,2.0,0.0,0.0,0.0,0.0,0.0,118.469429031974,0.0,47.38777161278961,0.0,0.0
162,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,1.0,18.037543214337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1.0,54.2072688682024,0.0,0.0,228.07662931702,225.795863023849,0.0,225.795863023849,0.0,0.0,0.0
179,1.0,75.8655126043877,0.0,0.0,605.692500919494,599.635575910299,0.0,825.205643071125,0.0,0.0,0.0
180,1.0,85.7777282849677,0.0,0.0,631.18583244097,624.87397411656,0.0,1449.25441154461,0.0,0.0,0.0
181,1.0,78.1806992587111,0.0,0.0,454.882436868451,450.333612499766,0.0,1898.13876963284,0.0,0.0,0.0
182,1.0,77.8071978678247,0.0,0.0,509.261263408625,504.168650774539,0.0,2400.40928163774,0.0,0.0,0.0
183,1.0,41.7014709758254,0.0,0.0,186.80394905407,184.93590956353,0.0,2582.94478191963,0.0,0.0,0.0
184,1.0,46.2145207429124,0.0,0.0,371.484487691009,367.769642814099,0.0,2948.13147995181,0.0,0.0,0.0
185,2.0,0.0,0.0,0.0,0.0,0.0,250.0,2692.65809594661,100.0,0.0,0.0
186,2.0,0.0,0.0,0.0,0.0,0.0,250.0,2437.44018532541,100.0,0.0,0.0
187,2.0,0.0,0.0,0.0,0.0,0.0,250.0,2182.47749261483,100.0,0.0,0.0
188,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1927.76976259696,100.0,0.0,0.0
189,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1673.31674030911,100.0,0.0,0.0
190,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1419.11817104355,100.0,0.0,0.0
191,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1165.17380034726,100.0,0.0,0.0
192,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1164.00862654691,0.0,0.0,0.0
193,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1162.84461792036,0.0,0.0,0.0
194,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1161.68177330244,0.0,0.0,0.0
195,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1160.52009152914,0.0,0.0,0.0
196,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1159.35957143761,0.0,0.0,0.0
197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.20021186617,0.0,0.0,0.0
198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.04201165431,0.0,0.0,0.0
199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.88496964265,0.0,0.0,0.0
200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.72908467301,0.0,0.0,0.0
201,1.0,16.2263212524468,0.0,0.0,0.0,0.0,0.0,1153.57435558834,0.0,0.0,0.0
202,1.0,27.4743806129897,0.0,0.0,0.0,0.0,0.0,1152.42078123275,0.0,0.0,0.0
203,1.0,36.8823184565667,0.0,0.0,0.0,0.0,0.0,1151.26836045152,0.0,0.0,0.0
204,1.0,23.9047430773173,0.0,0.0,0.0,0.0,0.0,1150.11709209106,0.0,0.0,0.0
205,1.0,33.4564925464262,0.0,0.0,0.0,0.0,0.0,1148.96697499897,0.0,0.0,0.0
206,1.0,20.6219455861007,0.0,0.0,0.0,0.0,0.0,1147.81800802397,0.0,0.0,0.0
207,1.0,25.6958651176511,0.0,0.0,0.0,0.0,0.0,1146.67019001595,0.0,0.0,0.0
208,1.0,16.9620911644185,0.0,0.0,0.0,0.0,0.0,1145.52351982593,0.0,0.0,0.0
209,2.0,0.0,0.0,0.0,0.0,0.0,250.0,891.852743780855,100.0,0.0,0.0
210,2.0,0.0,0.0,0.0,0.0,0.0,250.0,638.435638511822,100.0,0.0,0.0
211,2.0,0.0,0.0,0.0,0.0,0.0,250.0,385.271950348058,100.0,0.0,0.0
212,2.0,0.0,0.0,0.0,0.0,0.0,250.0,132.361425872457,100.0,0.0,0.0
213,2.0,0.0,0.0,0.0,0.0,0.0,130.906773802119,0.0,52.3627095208476,0.0,0.0
214,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,1.0,20.4708615021081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,1.0,46.8517335164364,0.0,0.0,96.8447519641868,95.8763044445449,0.0,95.8763044445449,0.0,0.0,0.0
227,1.0,50.1025501418735,0.0,0.0,0.0,0.0,0.0,95.7804281401003,0.0,0.0,0.0
228,1.0,49.9738138051759,0.0,0.0,0.0,0.0,0.0,95.6846477119602,0.0,0.0,0.0
229,1.0,55.7894046491201,0.0,0.0,0.0,0.0,0.0,95.5889630642483,0.0,0.0,0.0
230,1.0,44.0938841178562,0.0,0.0,0.0,0.0,0.0,95.493374101184,0.0,0.0,0.0
231,1.0,27.3777662784694,0.0,0.0,0.0,0.0,0.0,95.3978807270828,0.0,0.0,0.0
232,1.0,27.1387268667593,0.0,0.0,0.0,0.0,0.0,95.3024828463558,0.0,0.0,0.0
233,2.0,0.0,0.0,0.0,0.0,0.0,94.2551085598743,0.0,37.702043423949725,0.0,0.0
234,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1.0,17.6999714766883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1.0,50.1140619328535,0.0,0.0,139.755851482666,138.358292967839,0.0,138.358292967839,0.0,0.0,0.0
251,1.0,16.6644096526127,0.0,0.0,0.0,0.0,0.0,138.219934674872,0.0,0.0,0.0
252,1.0,6.4680215162991,0.0,0.0,0.0,0.0,0.0,138.081714740197,0.0,0.0,0.0
253,1.0,92.9466033517794,0.0,0.0,311.192070801315,308.080150093302,0.0,446.023783118758,0.0,0.0,0.0
254,1.0,88.6729439752073,0.0,0.0,602.127660076584,596.106383475818,0.0,1041.68414281146,0.0,0.0,0.0
255,1.0,72.9688488067053,0.0,0.0,515.263253526172,510.110620990911,0.0,1550.75307965956,0.0,0.0,0.0
256,1.0,34.0997336458201,0.0,0.0,206.059768948915,203.999171259426,0.0,1753.20149783932,0.0,0.0,0.0
257,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1498.92304381623,100.0,0.0,0.0
258,2.0,0.0,0.0,0.0,0.0,0.0,250.0,1244.89886824716,100.0,0.0,0.0
259,2.0,0.0,0.0,0.0,0.0,0.0,250.0,991.128716853663,100.0,0.0,0.0
260,2.0,0.0,0.0,0.0,0.0,0.0,250.0,737.612335611557,100.0,0.0,0.0
261,2.0,0.0,0.0,0.0,0.0,0.0,250.0,484.349470750693,100.0,0.0,0.0
262,2.0,0.0,0.0,0.0,0.0,0.0,250.0,231.339868754689,100.0,0.0,0.0
263,2.0,0.0,0.0,0.0,0.0,0.0,228.797443597075,0.0,91.51897743883,0.0,0.0
264,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
