Hour,AC_kWh,POA_kWh/m2
749,-0.15630000000000002,0.0
750,-0.15630000000000002,0.0
751,-0.15630000000000002,0.0
752,-0.15630000000000002,0.0
753,-0.15630000000000002,0.0
754,20326.88928980752,213.6704055073518
755,44279.569737184065,442.7922501642391
756,60866.65079594919,627.2290593833654
757,70843.680311616,747.3697664451829
758,72126.84314568937,765.4466805829173
759,68918.01874997128,731.1096438460353
760,59969.91052628027,628.9188289949444
761,41153.683109727885,422.36491856578795
762,9514.17540728631,99.62634734885188
763,-0.15630000000000002,0.0
764,-0.15630000000000002,0.0
765,-0.15630000000000002,0.0
766,-0.15630000000000002,0.0
767,-0.15630000000000002,0.0
768,-0.15630000000000002,0.0
769,-0.15630000000000002,0.0
770,-0.15630000000000002,0.0
771,-0.15630000000000002,0.0
772,-0.15630000000000002,0.0
773,-0.15630000000000002,0.0
774,-0.15630000000000002,0.0
775,-0.15630000000000002,0.0
776,-0.15630000000000002,0.0
777,-0.15630000000000002,0.0
778,22437.484101032343,236.7765896953057
779,45198.496691679895,457.5024884928676
780,55319.01832625634,567.8282936666566
781,71078.5469599511,747.1102862575917
782,74804.35697528615,791.5442218296553
783,65453.12471709795,685.978922361242
784,43063.093622857436,442.6478290919483
785,35561.810909825545,364.03486021773165
786,4216.13493567295,46.57809472765123
787,-0.15630000000000002,0.0
788,-0.15630000000000002,0.0
789,-0.15630000000000002,0.0
790,-0.15630000000000002,0.0
791,-0.15630000000000002,0.0
792,-0.15630000000000002,0.0
793,-0.15630000000000002,0.0
794,-0.15630000000000002,0.0
795,-0.15630000000000002,0.0
796,-0.15630000000000002,0.0
797,-0.15630000000000002,0.0
798,-0.15630000000000002,0.0
799,-0.15630000000000002,0.0
800,-0.15630000000000002,0.0
801,-0.15630000000000002,0.0
802,22838.44600991153,235.5582691949789
803,25800.852056772783,248.91293532423444
804,55614.29637070813,547.672081483388
805,75215.82,769.9313631650277
806,72403.88897389258,732.908385180906
807,62015.22496537491,624.7728809774214
808,46218.62980305305,461.2600127473959
809,25165.35569237214,250.4589870105352
810,6074.418860310494,64.19349726249679
811,-0.15630000000000002,0.0
812,-0.15630000000000002,0.0
813,-0.15630000000000002,0.0
814,-0.15630000000000002,0.0
815,-0.15630000000000002,0.0
816,-0.15630000000000002,0.0
817,-0.15630000000000002,0.0
818,-0.15630000000000002,0.0
819,-0.15630000000000002,0.0
820,-0.15630000000000002,0.0
821,-0.15630000000000002,0.0
822,-0.15630000000000002,0.0
823,-0.15630000000000002,0.0
824,-0.15630000000000002,0.0
825,-0.15630000000000002,0.0
826,21707.939132266663,220.39371819746307
827,46988.76711160325,456.7657803979003
828,63401.79445748833,636.1479988900514
829,74064.36003453417,766.8499702904027
830,75215.82,801.528738613687
831,72249.30958345062,761.556405047549
832,62315.27814977558,649.2261620838046
833,42258.813158517616,429.3953789087115
834,13734.83941840297,140.4632617375639
835,-0.15630000000000002,0.0
